"","kTotal","kWithin","kOut","kDiff"
"EZ55_19_105",1012.27156542443,631.265659975732,381.005905448697,250.259754527035
"R8W_6",21.3208577313129,18.785984073471,2.53487365784187,16.2511104156291
"R8W_7",22.5535193456377,19.7222035456558,2.83131579998192,16.8908877456738
"R8W_45",26.3598412083915,20.1796287662271,6.18021244216438,13.9994163240627
"R8W_18",20.1783045744087,17.6209398779927,2.557364696416,15.0635751815767
"R8W_44",25.0739683427363,20.6907310661771,4.38323727655915,16.307493789618
"R8W_15",15.7834826820813,9.80986633367475,5.9736163484066,3.83624998526815
"EZ55_18_11",1271.41804993265,546.724606381207,724.693443551439,-177.968837170233
"EZ55_18_17",1156.52190521596,503.780700231609,652.741204984352,-148.960504752744
"R8W_25",26.1801933872402,21.714831493802,4.46536189343823,17.2494696003637
"R8W_50",12.1573487819939,8.67734154763171,3.48000723436216,5.19733431326955
"R8W_5",23.6748682736275,19.8045080994997,3.87036017412787,15.9341479253718
"EZ55_41_54",1288.73898637594,761.192250890554,527.54673548539,233.645515405164
"R8W_38",21.3488378708518,15.3598436239513,5.98899424690053,9.37084937705073
"EZ55_18_227",1587.06938599241,1041.63158866474,545.437797327674,496.193791337062
"R8W_32",21.7174968888441,17.7802669357095,3.9372299531346,13.8430369825749
"EZ55_21_74",1947.11683434939,779.380965121425,1167.73586922797,-388.354904106543
"EZ55_18_19",2126.83973970347,1597.45320581908,529.386533884386,1068.0666719347
"R8W_27",19.1437410897589,16.5946767674258,2.54906432233307,14.0456124450927
"EZ55_18_18",1186.04173681088,894.343990345843,291.697746465035,602.646243880808
"EZ55_70_107",2255.26061428379,1638.61703634121,616.643577942588,1021.97345839862
"R8W_37",19.4478405456858,14.2167594355094,5.23108111017645,8.98567832533293
"R8W_39",18.6151764392659,13.3735770314493,5.24159940781658,8.13197762363272
"EZ55_19_114",1290.21462492562,859.641662127994,430.57296279763,429.068699330363
"EZ55_19_36",1290.10172399199,839.665932235908,450.435791756081,389.230140479826
"EZ55_21_79",1564.76544562514,1389.60765863884,175.1577869863,1214.44987165254
"EZ55_18_139",1862.10516283332,1178.4157077367,683.689455096617,494.726252640084
"EZ55_18_20",1660.40701309103,1136.34071862775,524.066294463287,612.27442416446
"EZ55_18_146",2037.05382673846,1303.94116002683,733.11266671163,570.828493315204
"EZ55_15_81",2003.48815566569,1370.9774645308,632.51069113489,738.466773395914
"EZ55_2_47",2488.67046134561,1679.56835282839,809.102108517216,870.466244311176
"EZ55_18_147",2032.19273668603,1409.81199745289,622.380739233141,787.431258219751
"EZ55_3_23",2610.48892885865,1877.32695968181,733.161969176842,1144.16499050497
"EZ55_19_113",1629.1403673477,1225.83891134954,403.301455998165,822.537455351373
"R8W_11",21.6690864838816,16.0416124547096,5.62747402917193,10.4141384255377
"EZ55_14_3",2706.76181232362,1885.50660331681,821.255209006813,1064.25139430999
"EZ55_60_100",2473.62040783823,1740.34101672923,733.279391109004,1007.06162562022
"EZ55_43_11",1663.90693765583,1077.41935496106,586.487582694768,490.931772266288
"EZ55_18_9",1517.8615292328,1062.47724155474,455.384287678051,607.092953876694
"EZ55_18_228",1509.73189691234,1006.31965418811,503.412242724232,502.90741146388
"EZ55_4_106",918.768990739705,702.974552119016,215.794438620689,487.180113498327
"EZ55_2_46",1286.60920312971,835.779009686412,450.830193443296,384.948816243115
"EZ55_1_23",2694.25092445408,1074.30190346775,1619.94902098633,-545.647117518587
