type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PC	NATL1A	24	3	8.90E+06	4.51E+05	2.60E+05	1.12E+06	NATL1A_PC_24	pt	NATL1A_PC	6.948940462	0.022132393	0.012778143	0.054979913
PC	NATL1A	30	3	1.52E+07	2.31E+06	1.34E+06	5.75E+06	NATL1A_PC_30	pt	NATL1A_PC	7.178211648	0.069606503	0.040187333	0.172912138
PC	NATL1A	33	3	1.23E+07	3.52E+06	2.03E+06	8.75E+06	NATL1A_PC_33	pt	NATL1A_PC	7.077052836	0.123504792	0.071305525	0.306802912
PC	NATL1A	36	3	1.60E+07	1.20E+06	6.91E+05	2.97E+06	NATL1A_PC_36	pt	NATL1A_PC	7.202865483	0.032930447	0.019012403	0.081803766
PC	NATL1A	42	3	8.13E+07	4.46E+06	2.57E+06	1.11E+07	NATL1A_PC_42	pt	NATL1A_PC	7.9096795	0.023526451	0.013583003	0.058442943
PC	NATL1A	45	3	1.18E+08	1.80E+07	1.04E+07	4.47E+07	NATL1A_PC_45	pt	NATL1A_PC	8.067955445	0.069714034	0.040249417	0.173179262
PC	NATL1A	48	3	1.21E+08	1.69E+06	9.75E+05	4.20E+06	NATL1A_PC_48	pt	NATL1A_PC	8.083612489	0.006075499	0.003507691	0.015092375
PC	NATL1A	51	3	2.21E+08	2.10E+07	1.21E+07	5.21E+07	NATL1A_PC_51	pt	NATL1A_PC	8.342478703	0.040250787	0.023238803	0.099988499
PR	NATL1A	0	3	6.07E+06	7.13E+05	4.12E+05	1.77E+06	NATL1A_PR_0	pt	NATL1A_PR	6.780980685	0.049942963	0.028834583	0.124065199
PR	NATL1A	3	3	5.86E+07	2.04E+07	1.18E+07	5.06E+07	NATL1A_PR_3	pt	NATL1A_PR	7.750241578	0.152885631	0.08826856	0.379788962
PR	NATL1A	6	3	8.08E+07	6.73E+06	3.88E+06	1.67E+07	NATL1A_PR_6	pt	NATL1A_PR	7.906507024	0.035545326	0.020522103	0.088299484
PR	NATL1A	9	3	9.41E+07	1.08E+07	6.25E+06	2.69E+07	NATL1A_PR_9	pt	NATL1A_PR	7.971619499	0.050913502	0.029394924	0.126476151
PR	NATL1A	12	3	6.62E+07	6.73E+07	3.88E+07	1.67E+08	NATL1A_PR_12	pt	NATL1A_PR	7.676895617	0.41683094	0.240657455	1.035465457
PR	NATL1A	14	3	1.23E+08	3.08E+07	1.78E+07	7.66E+07	NATL1A_PR_14	pt	NATL1A_PR	8.079184347	0.117389985	0.067775139	0.291612888
PR	NATL1A	18	3	4.55E+07	2.55E+06	1.47E+06	6.33E+06	NATL1A_PR_18	pt	NATL1A_PR	7.657878131	0.02429612	0.014027372	0.060354909
PR	NATL1A	21	3	1.63E+07	5.72E+06	3.30E+06	1.42E+07	NATL1A_PR_21	pt	NATL1A_PR	7.190963032	0.170317415	0.098332805	0.423091913
PR	NATL1A	24	3	3.57E+07	3.59E+06	2.07E+06	8.91E+06	NATL1A_PR_24	pt	NATL1A_PR	7.550946064	0.045073119	0.026022978	0.111967835
PR	NATL1A	30	3	4.71E+07	4.79E+06	2.77E+06	1.19E+07	NATL1A_PR_30	pt	NATL1A_PR	7.671745934	0.043254476	0.024972983	0.107450075
PR	NATL1A	33	3	3.42E+07	6.50E+06	3.75E+06	1.62E+07	NATL1A_PR_33	pt	NATL1A_PR	7.528612362	0.082811641	0.047811323	0.20571552
PR	NATL1A	36	3	3.48E+07	4.51E+06	2.60E+06	1.12E+07	NATL1A_PR_36	pt	NATL1A_PR	7.539133887	0.05778162	0.033360234	0.1435375
PR	NATL1A	42	3	2.53E+07	1.12E+06	6.47E+05	2.79E+06	NATL1A_PR_42	pt	NATL1A_PR	7.40343779	0.019157056	0.011060331	0.047588765
PR	NATL1A	45	3	1.11E+07	1.11E+06	6.40E+05	2.75E+06	NATL1A_PR_45	pt	NATL1A_PR	7.043871666	0.042275264	0.024407635	0.105017577
PR	NATL1A	48	3	1.14E+07	1.03E+06	5.95E+05	2.56E+06	NATL1A_PR_48	pt	NATL1A_PR	7.055585183	0.040275096	0.023252837	0.100048884
PR	NATL1A	51	3	2.93E+06	5.29E+05	3.05E+05	1.31E+06	NATL1A_PR_51	pt	NATL1A_PR	6.462869244	0.075110321	0.043364964	0.186584381
