type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PAR	NATL1A	18	3	2.17E+08	3.73E+06	2.15E+06	9.27E+06	NATL1A_PAR_18	pro	NATL1A_PAR	8.33727309	0.007421176	0.004284618	0.018435224
PAR	NATL1A	21	3	1.69E+08	6.33E+06	3.65E+06	1.57E+07	NATL1A_PAR_21	pro	NATL1A_PAR	8.228737308	0.016399299	0.00946814	0.040738116
PAR	NATL1A	24	3	2.47E+08	1.07E+07	6.16E+06	2.65E+07	NATL1A_PAR_24	pro	NATL1A_PAR	8.391594026	0.018590165	0.010733037	0.046180531
PAR	NATL1A	30	3	2.23E+08	6.63E+07	3.83E+07	1.65E+08	NATL1A_PAR_30	pro	NATL1A_PAR	8.33337445	0.144401637	0.083370324	0.358713553
PAR	NATL1A	33	3	2.17E+08	1.60E+07	9.26E+06	3.98E+07	NATL1A_PAR_33	pro	NATL1A_PAR	8.336637868	0.03260719	0.01882577	0.081000751
PAR	NATL1A	36	3	2.47E+08	9.97E+06	5.76E+06	2.48E+07	NATL1A_PAR_36	pro	NATL1A_PAR	8.392761068	0.017400892	0.01004641	0.043226213
PAR	NATL1A	42	3	2.24E+08	1.49E+07	8.60E+06	3.70E+07	NATL1A_PAR_42	pro	NATL1A_PAR	8.350368401	0.028384955	0.016388062	0.070512138
PAR	NATL1A	45	3	2.35E+08	8.68E+06	5.01E+06	2.16E+07	NATL1A_PAR_45	pro	NATL1A_PAR	8.37079538	0.015887808	0.00917283	0.039467503
PC	NATL1A	0	3	6.99E+06	9.92E+05	5.73E+05	2.46E+06	NATL1A_PC_0	pro	NATL1A_PC	6.841478096	0.061991082	0.035790568	0.153994384
PC	NATL1A	3	3	1.70E+06	2.90E+05	1.67E+05	7.20E+05	NATL1A_PC_3	pro	NATL1A_PC	6.22566776	0.071225763	0.041122213	0.176934604
PC	NATL1A	6	3	1.90E+05	2.62E+03	1.51E+03	6.52E+03	NATL1A_PC_6	pro	NATL1A_PC	5.277727983	0.006013834	0.003472089	0.014939192
PC	NATL1A	9	3	7.67E+05	2.08E+04	1.20E+04	5.18E+04	NATL1A_PC_9	pro	NATL1A_PC	5.88476434	0.011887302	0.006863137	0.029529695
PC	NATL1A	12	3	1.86E+06	2.24E+05	1.29E+05	5.56E+05	NATL1A_PC_12	pro	NATL1A_PC	6.266253792	0.054324599	0.031364322	0.134949784
PC	NATL1A	14	3	5.12E+05	1.21E+05	6.96E+04	2.99E+05	NATL1A_PC_14	pro	NATL1A_PC	5.700900474	0.103339543	0.059663113	0.256709657
PC	NATL1A	18	3	5.27E+05	1.14E+05	6.59E+04	2.84E+05	NATL1A_PC_18	pro	NATL1A_PC	5.714032391	0.100227236	0.057866222	0.248978256
PC	NATL1A	21	3	7.19E+05	1.26E+05	7.25E+04	3.12E+05	NATL1A_PC_21	pro	NATL1A_PC	5.851891275	0.080176062	0.046289671	0.19916838
PC	NATL1A	24	3	9.78E+05	2.07E+05	1.20E+05	5.15E+05	NATL1A_PC_24	pro	NATL1A_PC	5.983430091	0.09836683	0.056792115	0.244356751
PC	NATL1A	30	3	6.93E+06	1.21E+06	6.96E+05	3.00E+06	NATL1A_PC_30	pro	NATL1A_PC	6.835726383	0.080166215	0.046283986	0.199143917
PC	NATL1A	33	3	1.46E+07	2.24E+06	1.29E+06	5.56E+06	NATL1A_PC_33	pro	NATL1A_PC	7.160722943	0.065094188	0.037582147	0.161702928
PC	NATL1A	36	3	3.70E+07	8.34E+06	4.82E+06	2.07E+07	NATL1A_PC_36	pro	NATL1A_PC	7.560904844	0.093210645	0.053815191	0.231548079
PC	NATL1A	42	3	1.07E+08	9.89E+06	5.71E+06	2.46E+07	NATL1A_PC_42	pro	NATL1A_PC	8.030070467	0.038997104	0.022514989	0.096874177
PC	NATL1A	45	3	1.32E+08	2.16E+07	1.25E+07	5.36E+07	NATL1A_PC_45	pro	NATL1A_PC	8.115783249	0.074609268	0.043075681	0.185339697
PC	NATL1A	48	3	1.69E+08	2.59E+06	1.50E+06	6.44E+06	NATL1A_PC_48	pro	NATL1A_PC	8.226637649	0.006653267	0.003841266	0.016527632
PC	NATL1A	51	3	1.75E+08	1.11E+07	6.41E+06	2.76E+07	NATL1A_PC_51	pro	NATL1A_PC	8.242714588	0.027822582	0.016063375	0.069115125
PR	NATL1A	0	3	7.69E+06	2.30E+05	1.33E+05	5.72E+05	NATL1A_PR_0	pro	NATL1A_PR	6.885599754	0.013113574	0.007571126	0.032575925
PR	NATL1A	3	3	1.78E+07	1.21E+06	6.99E+05	3.01E+06	NATL1A_PR_3	pro	NATL1A_PR	7.249857571	0.029118287	0.016811451	0.072333835
PR	NATL1A	6	3	5.12E+07	1.56E+06	8.99E+05	3.87E+06	NATL1A_PR_6	pro	NATL1A_PR	7.708797948	0.013217273	0.007630996	0.032833527
PR	NATL1A	9	3	1.01E+08	2.78E+07	1.61E+07	6.91E+07	NATL1A_PR_9	pro	NATL1A_PR	7.993127626	0.116456164	0.067235997	0.289293148
PR	NATL1A	12	3	1.64E+08	8.94E+06	5.16E+06	2.22E+07	NATL1A_PR_12	pro	NATL1A_PR	8.213445033	0.023397894	0.01350878	0.05812359
PR	NATL1A	14	3	2.07E+08	9.63E+06	5.56E+06	2.39E+07	NATL1A_PR_14	pro	NATL1A_PR	8.314911721	0.019988657	0.011540457	0.049654578
