sample.id	Name	Title	Time	Type	Name2	Name1	Name3	name	X0	pro	total	bac	ph	pl	pt	Pro	Total	Bac	Ph	Pl	Pt	time	type	pro_type	vbr	vbr2	type.1	hooh	type1
X65	P41_1	PR	3	PR_1	1	P_1	P41	41-N1	46	19171981.86	15288801.17	-3883180.686	8163515.74	71950148.09	80113663.83	7.282667009	7.184373433	#NUM!	6.911877234	7.857031692	7.903706594	3	PR	NATL1A	-20.63093899	0	NATL1A_PR	5.566886922	PR
X72	P42_1	PR	3	PR_1	1	P_2	P42	42-N1	47	16868890.38	16115701.75	-753188.6214	7838022.09	48276613.13	56114635.22	7.227086516	7.207249222	#NUM!	6.894206483	7.683736794	7.749076144	3	PR	NATL1A	-74.50276548	0	NATL1A_PR	5.710857883	PR
X79	P43_1	PR	3	PR_1	1	P_3	P43	43-N1	48	17370774.72	15601842.11	-1768932.612	4098670.448	35523840.6	39622511.04	7.239819188	7.193175878	#NUM!	6.612643	7.550519913	7.597941995	3	PR	NATL1A	-22.39910711	0	NATL1A_PR	5.152969849	PR
X86	P51_1	PA	3	PA_1	1	P_1	P51	51-N1	49	18982381.1	22751578.95	3769197.843	NA	NA	NA	7.278350688	7.357011542	6.576248934	#NUM!	#NUM!	#NUM!	3	PA	NATL1A	NA	#NUM!	NATL1A_PA	6.316736236	PA
X93	P52_1	PA	3	PA_1	1	P_2	P52	52-N1	50	19759372.42	23475116.96	3715744.541	NA	NA	NA	7.295773147	7.370607765	6.570045848	#NUM!	#NUM!	#NUM!	3	PA	NATL1A	NA	#NUM!	NATL1A_PA	5.056988315	PA
X100	P53_1	PA	3	PA_1	1	P_3	P53	53-N1	51	18937769.16	24101198.83	5163429.668	NA	NA	NA	7.277328819	7.382038646	6.712938266	#NUM!	#NUM!	#NUM!	3	PA	NATL1A	NA	#NUM!	NATL1A_PA	5.332933328	PA
X107	P61_1	PAR	3	PAR_1	1	P_1	P61	61-N1	52	24065418.6	25501023.39	1435604.79	4618687.182	61144946.63	65763633.82	7.38139342	7.40655761	6.157034899	6.664518549	7.78636057	7.817985802	3	PAR	NATL1A	45.80900976	1.660950904	NATL1A_PAR	5.350930033	PAR
X114	P62_1	PAR	3	PAR_1	1	P_2	P62	62-N1	53	24378291.13	28805672.51	4427381.385	4637805.724	59503230.75	64141036.47	7.387003259	7.459478019	6.646146935	6.666312552	7.774540547	7.807135974	3	PAR	NATL1A	14.48735288	1.160989039	NATL1A_PAR	6.382723262	PAR
X121	P63_1	PAR	3	PAR_1	1	P_3	P63	63-N1	54	24032290.92	27275906.43	3243615.51	4112309.95	59448237	63560546.96	7.380795173	7.435779192	6.511029368	6.614085841	7.77413898	7.803187626	3	PAR	NATL1A	19.59558609	1.292158257	NATL1A_PAR	5.698860079	PAR
X3	P11_2	P	12	P_2	2	P_1	P11	11-N4	145	173312975.7	143526315.8	-29786659.87	NA	NA	NA	8.238831079	8.156931537	#NUM!	#NUM!	#NUM!	#NUM!	12	P	NATL1A	NA	#NUM!	NATL1A_P	6.543967142	P
